iter	Passed	Remaining
1167	101868	72563
1168	101968	72485
1169	102053	72396
1170	102136	72306
1171	102236	72228
1172	102358	72165
1173	102471	72096
1174	102574	72020
1175	102674	71941
1176	102758	71852
1177	102845	71764
1178	102987	71715
1179	103141	71674
1180	103284	71625
1181	103381	71544
1182	103470	71458
1183	103560	71372
1184	103639	71279
1185	103741	71202
1186	103839	71121
1187	103985	71074
1188	104092	70999
1189	104195	70923
1190	104301	70847
1191	104401	70768
1192	104509	70694
1193	104599	70608
1194	104676	70514
1195	104760	70424
1196	104843	70333
1197	104927	70243
1198	105011	70153
1199	105103	70068
1200	105183	69976
1201	105280	69895
1202	105395	69825
1203	105506	69753
1204	105608	69675
1205	105696	69588
1206	105793	69506
1207	105875	69415
1208	105962	69327
1209	106056	69243
1210	106191	69186
1211	106275	69096
1212	106371	69014
1213	106456	68925
1214	106543	68836
1215	106627	68746
1216	106709	68655
1217	106810	68575
1218	106906	68493
1219	107012	68417
1220	107095	68327
1221	107175	68234
1222	107264	68147
1223	107362	68066
1224	107468	67990
1225	107577	67915
1226	107661	67826
1227	107743	67734
1228	107826	67643
1229	107907	67552
1230	107996	67464
1231	108077	67372
1232	108169	67287
1233	108267	67206
1234	108372	67129
1235	108463	67043
1236	108542	66950
1237	108634	66865
1238	108715	66773
1239	108798	66682
1240	108889	66597
1241	108994	66519
1242	109090	66436
1243	109212	66370
1244	109315	66291
1245	109415	66211
1246	109529	66139
1247	109625	66056
1248	109711	65967
1249	109799	65879
1250	109891	65794
1251	109979	65706
1252	110080	65626
1253	110182	65547
1254	110274	65461
1255	110384	65386
1256	110495	65312
1257	110596	65232
1258	110696	65151
1259	110786	65065
1260	110892	64987
1261	111017	64921
1262	111163	64867
1263	111262	64785
1264	111340	64691
1265	111421	64599
1266	111504	64508
1267	111596	64423
1268	111691	64339
1269	111796	64261
1270	111887	64174
1271	112026	64115
1272	112154	64050
1273	112235	63958
1274	112319	63867
1275	112403	63777
1276	112480	63683
1277	112585	63604
1278	112665	63511
1279	112751	63422
1280	112841	63335
1281	112937	63252
1282	113019	63160
1283	113116	63077
1284	113228	63002
1285	113350	62933
1286	113437	62844
1287	113513	62749
1288	113591	62656
1289	113668	62561
1290	113745	62467
1291	113838	62381
1292	113926	62293
1293	114003	62199
1294	114086	62109
1295	114165	62015
1296	114236	61918
1297	114316	61826
1298	114397	61734
1299	114478	61642
1300	114571	61556
1301	114716	61499
1302	114872	61447
1303	114957	61357
1304	115056	61275
1305	115116	61172
1306	115199	61081
1307	115284	60991
1308	115416	60926
1309	115549	60862
1310	115627	60768
1311	115702	60673
1312	115787	60583
1313	115926	60522
1314	116055	60454
1315	116145	60367
1316	116230	60277
1317	116323	60191
1318	116444	60120
1319	116525	60028
1320	116609	59937
1321	116694	59847
1322	116789	59762
1323	116926	59699
1324	117007	59607
1325	117086	59514
1326	117182	59429
1327	117303	59358
1328	117415	59282
1329	117517	59200
1330	117674	59146
1331	117751	59052
1332	117842	58965
1333	117934	58878
1334	118023	58790
1335	118130	58711
1336	118288	58657
1337	118403	58582
1338	118500	58497
1339	118586	58408
1340	118699	58332
1341	118834	58265
1342	118957	58194
1343	119071	58118
1344	119162	58030
1345	119246	57939
1346	119385	57875
1347	119534	57816
1348	119690	57760
1349	119822	57692
1350	119910	57603
1351	120001	57515
1352	120154	57457
1353	120253	57373
1354	120377	57301
1355	120476	57217
1356	120590	57140
1357	120673	57048
1358	120791	56973
1359	120968	56926
1360	121052	56835
1361	121150	56750
1362	121266	56674
1363	121359	56587
1364	121476	56511
1365	121576	56427
1366	121659	56335
1367	121769	56256
1368	121867	56171
1369	121978	56092
1370	122140	56036
1371	122331	55994
1372	122507	55944
1373	122665	55886
1374	122786	55812
1375	123039	55796
1376	123180	55730
1377	123307	55658
1378	123426	55582
1379	123555	55510
1380	123646	55421
1381	123795	55358
1382	123903	55277
1383	123999	55190
1384	124099	55105
1385	124187	55015
1386	124295	54933
1387	124430	54864
1388	124565	54794
1389	124645	54700
1390	124781	54631
1391	124953	54577
1392	125069	54499
1393	125155	54407
1394	125240	54315
1395	125326	54224
1396	125413	54133
1397	125488	54037
1398	125573	53945
1399	125659	53854
1400	125742	53761
1401	125829	53670
1402	125972	53603
1403	126083	53522
1404	126220	53452
1405	126305	53360
1406	126398	53272
1407	126537	53203
1408	126651	53123
1409	126746	53035
1410	126837	52946
1411	126944	52863
1412	127024	52769
1413	127112	52678
1414	127228	52599
1415	127315	52508
1416	127396	52414
1417	127508	52334
1418	127596	52243
1419	127676	52149
1420	127845	52091
1421	128027	52039
1422	128156	51965
1423	128265	51882
1424	128365	51796
1425	128463	51709
1426	128573	51627
1427	128689	51547
1428	128782	51458
1429	128885	51373
1430	128989	51289
1431	129142	51224
1432	129286	51155
1433	129382	51067
1434	129520	50995
1435	129762	50965
1436	129901	50893
1437	129996	50805
1438	130103	50721
1439	130204	50635
1440	130355	50568
1441	130475	50489
1442	130580	50404
1443	130714	50330
1444	130834	50251
1445	130937	50165
1446	131046	50082
1447	131140	49992
1448	131234	49903
1449	131337	49817
1450	131446	49734
1451	131552	49649
1452	131652	49562
1453	131745	49472
1454	131891	49402
1455	132028	49329
1456	132133	49244
1457	132283	49175
1458	132393	49091
1459	132505	49008
1460	132607	48922
1461	132690	48828
1462	132777	48736
1463	132876	48648
1464	132970	48559
1465	133058	48467
1466	133142	48374
1467	133233	48283
1468	133358	48205
1469	133497	48131
1470	133617	48051
1471	133743	47973
1472	133864	47893
1473	133973	47808
1474	134088	47726
1475	134202	47643
1476	134311	47559
1477	134397	47466
1478	134488	47375
1479	134585	47286
1480	134698	47203
1481	134800	47116
1482	134903	47029
1483	135001	46941
1484	135107	46855
1485	135210	46768
1486	135408	46714
1487	135568	46647
1488	135645	46551
1489	135744	46462
1490	135869	46383
1491	135959	46291
1492	136066	46206
1493	136195	46127
1494	136344	46056
1495	136436	45965
1496	136520	45871
1497	136605	45778
1498	136751	45705
1499	136913	45637
1500	137040	45558
1501	137183	45484
1502	137307	45403
1503	137465	45334
1504	137563	45245
1505	137656	45154
1506	137755	45065
1507	137842	44972
1508	137994	44900
1509	138134	44825
1510	138239	44737
1511	138318	44642
1512	138426	44556
1513	138777	44548
1514	138984	44493
1515	139120	44415
1516	139298	44351
1517	139548	44309
1518	139732	44247
1519	139819	44153
1520	139969	44079
1521	140128	44008
1522	140273	43933
1523	140384	43847
1524	140508	43764
1525	140632	43682
1526	140771	43605
1527	140862	43512
1528	140999	43434
1529	141147	43359
1530	141257	43272
1531	141435	43206
1532	141576	43128
1533	141720	43051
1534	141856	42972
1535	141986	42891
1536	142091	42803
1537	142188	42711
1538	142309	42628
1539	142422	42541
1540	142565	42464
1541	142725	42391
1542	142841	42306
1543	142961	42221
1544	143082	42137
1545	143266	42071
1546	143426	41998
1547	143622	41936
1548	143761	41857
1549	143876	41770
1550	143992	41684
1551	144094	41594
1552	144213	41509
1553	144399	41442
1554	144550	41366
1555	144670	41281
1556	144797	41198
1557	144927	41115
1558	145032	41025
1559	145169	40945
1560	145294	40861
1561	145459	40788
1562	145661	40725
1563	145810	40647
1564	145971	40573
1565	146106	40491
1566	146236	40408
1567	146375	40328
1568	146489	40240
1569	146619	40157
1570	146783	40082
1571	146906	39997
1572	147050	39917
1573	147195	39838
1574	147325	39754
1575	147469	39674
1576	147598	39590
1577	147688	39496
1578	147779	39401
1579	147875	39308
